id; Имя; Путь к фильму; Путь к постеру; 
4067; Кинематика. Часть 2; https://diafilmy.su/4067-kinematika-chast-2.html; https://diafilmy.su/uploads/posts/2016-05/1462438704_00d-kopiya.jpg; 
50; Чиполлино. Часть 1; https://diafilmy.su/50-chipollino-chast-1.html; https://diafilmy.su/uploads/posts/2014-03/1396207669_0006.jpg; 
51; Фотоэкран №4 1976г.; https://diafilmy.su/51-fotoekran-4-1976g.html; https://diafilmy.su/uploads/posts/2011-02/1297668873_4.jpg; 
52; Красная Шапочка; https://diafilmy.su/52-krasnaya-shapochka.html; https://diafilmy.su/uploads/posts/2011-02/1297669073_3.jpg; 
53; Семь воронов; https://diafilmy.su/53-sem-voronov.html; https://diafilmy.su/uploads/posts/2011-02/1297783100_5.jpg; 
54; Муха; https://diafilmy.su/54-muha.html; https://diafilmy.su/uploads/posts/2016-02/1456378886_1.jpg; 
3920; Математическая викторина; https://diafilmy.su/3920-matematicheskaya-viktorina.html; https://diafilmy.su/uploads/posts/2016-02/1456512416_01-kopiya.jpg; 
55; Ну, погоди! 4-й выпуск; https://diafilmy.su/55-nu-pogodi-4y-vypusk.html; https://diafilmy.su/uploads/posts/2012-10/1349894486_4.jpg; 
56; Белый Клык; https://diafilmy.su/56-belyy-klyk.html; https://diafilmy.su/uploads/posts/2016-02/1454909185_1.jpg; 
61; Царевна-лягушка; https://diafilmy.su/61-carevna-lyagushka.html; https://diafilmy.su/uploads/posts/2016-02/1456646868_4.jpg; 
3926; Храбрый Азмун; https://diafilmy.su/3926-hrabryy-azmun.html; https://diafilmy.su/uploads/posts/2016-02/1456655910_01-kopiya.jpg; 
57; Снегурочка; https://diafilmy.su/57-snegurochka.html; https://diafilmy.su/uploads/posts/2011-02/1297844440_5.jpg; 
58; Курочка Ряба; https://diafilmy.su/58-kurochka-ryaba.html; https://diafilmy.su/uploads/posts/2017-03/1490593356_1.jpg; 
59; Сюлемен и злой карлик; https://diafilmy.su/59-syulemen-i-zloy-karlik.html; https://diafilmy.su/uploads/posts/2016-02/1455599442_1.jpg; 
60; О том, как буря перевесила вывески; https://diafilmy.su/60-o-tom-kak-burya-perevesila-vyveski.html; https://diafilmy.su/uploads/posts/2019-09/1568789509_04.jpg; 
767; Ленин в Москве; https://diafilmy.su/767-lenin-v-moskve.html; https://diafilmy.su/uploads/posts/2011-12/1325360725_3.jpg; 
64; Сестрица Алёнушка и братец Иванушка; https://diafilmy.su/64-sestrica-alenushka-i-bratec-ivanushka.html; https://diafilmy.su/uploads/posts/2016-03/1459165203_1.jpg; 
66; Федорино горе; https://diafilmy.su/66-fedorino-gore.html; https://diafilmy.su/uploads/posts/2020-09/1600529766_05.jpg; 
67; Едут звери в зоопарк; https://diafilmy.su/67-edut-zveri-v-zoopark.html; https://diafilmy.su/uploads/posts/2011-02/1297973103_3.jpg; 
68; Аленький цветочек; https://diafilmy.su/68-alenkiy-cvetochek.html; https://diafilmy.su/uploads/posts/2012-11/1352558580_1.jpg; 
69; Анс и дракон; https://diafilmy.su/69-ans-i-drakon.html; https://diafilmy.su/uploads/posts/2015-02/1423250820_scan-150205-0005-kopiya.jpg; 
70; Неринга; https://diafilmy.su/70-neringa.html; https://diafilmy.su/uploads/posts/2016-12/1482779052_0d.jpg; 
71; Фотоэкран №8 1975г.; https://diafilmy.su/71-fotoekran-8-1975g.html; https://diafilmy.su/uploads/posts/2011-02/1298057298_4.jpg; 
72; Принцесса на горошине; https://diafilmy.su/72-princessa-na-goroshine.html; https://diafilmy.su/uploads/posts/2014-08/1407731918_01.jpg; 
73; Путешествие за книгой; https://diafilmy.su/73-puteshestvie-za-knigoy.html; https://diafilmy.su/uploads/posts/2011-02/1298057888_3.jpg; 
74; Звездоглазка; https://diafilmy.su/74-zvezdoglazka.html; https://diafilmy.su/uploads/posts/2016-01/1452536618_1.jpg; 
3795; Озвученные диафильмы; Про золотое солнце и серебряный месяц; https://diafilmy.su/3795-pro-zolotoe-solnce-i-serebryanyy-mesyac.html; 
3794; Ярка Дворжак; https://diafilmy.su/3794-yarka-dvorzhak.html; https://diafilmy.su/uploads/posts/2016-01/1452549812_03.jpg; 
75; Снежная королева; https://diafilmy.su/75-snezhnaya-koroleva.html; https://diafilmy.su/uploads/posts/2011-02/1298145431_9.jpg; 
76; Стихи и басни; Кот сметанный рот; https://diafilmy.su/76-kot-smetannyy-rot.html; 
77; Малышам о добром и злом огне; https://diafilmy.su/77-malysham-o-dobrom-i-zlom-ogne.html; https://diafilmy.su/uploads/posts/2011-02/1298193452_3.jpg; 
78; Чиполлино. Часть 2; https://diafilmy.su/78-chipollino-chast-2.html; https://diafilmy.su/uploads/posts/2014-03/1396207338_0006.jpg; 
79; Лошадь Ласточка; https://diafilmy.su/79-loshad-lastochka.html; https://diafilmy.su/uploads/posts/2011-02/1298202046_skanirovanie0005.jpg; 
83; Фотоэкран №1 1980г.; https://diafilmy.su/83-fotoekran-1-1980g.html; https://diafilmy.su/uploads/posts/2011-02/1298315890_4.jpg; 
84; Фотоэкран №7 1969г.; https://diafilmy.su/84-fotoekran-7-1969g.html; https://diafilmy.su/uploads/posts/2011-02/1298318002_3.jpg; 
85; Как звери солнце добывали; https://diafilmy.su/85-kak-zveri-solnce-dobyvali.html; https://diafilmy.su/uploads/posts/2014-08/1408681557_01.jpg; 
86; Король самый первый; https://diafilmy.su/86-korol-samyy-pervyy.html; https://diafilmy.su/uploads/posts/2011-02/1298318568_4.jpg; 
88; Фотоэкран №11 1976г.; https://diafilmy.su/88-fotoekran-11-1976g.html; https://diafilmy.su/uploads/posts/2011-02/1298406765_4.jpg; 
91; Хромая уточка; https://diafilmy.su/91-hromaya-utochka.html; https://diafilmy.su/uploads/posts/2020-01/1580111143_02.jpg; 
89; Ма-Тари-Кари; https://diafilmy.su/89-ma-tari-kari.html; https://diafilmy.su/uploads/posts/2011-02/1298407078_5.jpg; 
92; Неженка; https://diafilmy.su/92-nezhenka.html; https://diafilmy.su/uploads/posts/2011-02/1298578708_2.jpg; 
93; У солнца на краю или небольшое путешествие по Таджикской ССР; https://diafilmy.su/93-u-solnca-na-krayu.html; https://diafilmy.su/uploads/posts/2011-02/1298658900_4.jpg; 
94; Умная жена. Часть 2; https://diafilmy.su/94-umnaya-zhena-2chast.html; https://diafilmy.su/uploads/posts/2011-02/1298660688_2.jpg; 
95; Умная жена. Часть 1; https://diafilmy.su/95-umnaya-zhena-1chast.html; https://diafilmy.su/uploads/posts/2011-02/1298660797_3.jpg; 
96; Как крестьянский сын заколдованных братьев спас; https://diafilmy.su/96-kak-krestyanskiy-syn.html; https://diafilmy.su/uploads/posts/2011-02/1298802170_skanirovanie0004.jpg; 
97; Как Петушок попал на крышу; https://diafilmy.su/97-kak-petushok-popal-na-kryshu.html; https://diafilmy.su/uploads/posts/2011-02/1298805424_skanirovanie0005.jpg; 
98; Чудесное путешествие Нильса с дикими гусями. Диафильм 1; https://diafilmy.su/98-puteshestvie-nilsa-diafilm-1.html; https://diafilmy.su/uploads/posts/2016-02/1454390928_1.jpg; 
99; Чудесное путешествие Нильса с дикими гусями. Диафильм 2; https://diafilmy.su/99-puteshestvie-nilsa-diafilm-2.html; https://diafilmy.su/uploads/posts/2016-02/1454390663_1.jpg; 
100; Как бык, баран, гусь да петух зиму зимовали; https://diafilmy.su/100-zimu-zimovali.html; https://diafilmy.su/uploads/posts/2020-09/1600529541_04.jpg; 
101; Лисичка со скалочкой; https://diafilmy.su/101-lisichka-so-skalochkoy.html; https://diafilmy.su/uploads/posts/2015-02/1423665345_03.jpg; 
102; Как Джек счастья ходил искать; https://diafilmy.su/102-kak-dzhek.html; https://diafilmy.su/uploads/posts/2011-02/1298830512_5.jpg; 
104; Гадкий утёнок; https://diafilmy.su/104-gadkiy-utenok.html; https://diafilmy.su/uploads/posts/2014-08/1407389578_image001.jpg; 
2833; На Царьград!; https://diafilmy.su/2833-na-cargrad.html; https://diafilmy.su/uploads/posts/2014-08/1407443734_img034.jpg; 
105; По ленинским местам Москвы; https://diafilmy.su/105-po-leninskim-mestam.html; https://diafilmy.su/uploads/posts/2011-02/1298921544_3.jpg; 
106; К.Паустовский. Мещерская сторона; https://diafilmy.su/106-mescherskaya-storona.html; https://diafilmy.su/uploads/posts/2011-02/1298925207_4.jpg; 
107; Социализм и нации; https://diafilmy.su/107-socializm-i-nacii.html; https://diafilmy.su/uploads/posts/2011-02/1298925568_4.jpg; 
108; Три поросёнка; https://diafilmy.su/108-tri-porosenka.html; https://diafilmy.su/uploads/posts/2019-01/1546769621_01.jpg; 
5825; Ноябрьская революция 1918 года в Германии. Венгерская Советская республика; https://diafilmy.su/5825-nojabrskaja-revoljucija.html; https://diafilmy.su/uploads/posts/2019-01/1546813507_04.jpg; 
109; Что натворила волшебница; https://diafilmy.su/109-chto-natvorila-volshebnica.html; https://diafilmy.su/uploads/posts/2011-03/1298927062_3.jpg; 
110; Замок лгунов. Диафильм первый; https://diafilmy.su/110-zamok-lgunov-diafilm-pervyy.html; https://diafilmy.su/uploads/posts/2011-03/1299002763_5.jpg; 
111; Замок лгунов. Диафильм второй; https://diafilmy.su/111-zamok-lgunov-diafilm-vtoroy.html; https://diafilmy.su/uploads/posts/2011-03/1299002922_5.jpg; 
112; Повесть о бедном Фасо; https://diafilmy.su/112-povest-o-bednom-faso.html; https://diafilmy.su/uploads/posts/2011-03/1299015383_3.jpg; 
113; Фотоэкран №4 1971г.; https://diafilmy.su/113-fotoekran-4-1971g.html; https://diafilmy.su/uploads/posts/2011-03/1299098754_3.jpg; 
114; Фотоэкран №1 1970г.; https://diafilmy.su/114-fotoekran-1-1970g.html; https://diafilmy.su/uploads/posts/2011-03/1299102292_4.jpg; 
115; Стихи и басни; Конёк-Горбунок. Часть 4; https://diafilmy.su/115-konek-gorbunok-chast-4.html; 
119; Ассипатл и Владыка Морской Змей; https://diafilmy.su/119-assipatl-i-vladyka-morskoy-zmey.html; https://diafilmy.su/uploads/posts/2011-03/1299334289_3.jpg; 
116; Стихи и басни; Конёк-Горбунок. Часть 3; https://diafilmy.su/116-konek-gorbunok-chast-3.html; 
117; Стихи и басни; Конёк-Горбунок. Часть 2; https://diafilmy.su/117-konek-gorbunok-chast-2.html; 
118; Стихи и басни; Конёк-Горбунок. Часть 1; https://diafilmy.su/118-konek-gorbunok-chast-1.html; 
120; У солнышка в гостях; https://diafilmy.su/120-u-solnyshka-v-gostyah.html; https://diafilmy.su/uploads/posts/2013-05/1369678983_image005-kopiya.jpg; 
123; Гадкий утёнок; https://diafilmy.su/123-gadkiy-utenok.html; https://diafilmy.su/uploads/posts/2011-03/1299442476_4.jpg; 
121; У солнышка в гостях; https://diafilmy.su/121-u-solnyshka-v-gostyah.html; https://diafilmy.su/uploads/posts/2011-03/1299354083_2.jpg; 
122; Широка страна моя родная; https://diafilmy.su/122-shiroka-strana-moya-rodnaya.html; https://diafilmy.su/uploads/posts/2011-03/1299354391_1.jpg; 
124; Молодец со звездой во лбу и его рогатый конь. Часть 2; https://diafilmy.su/124-molodec-so-zvezdoy-vo-lbu-2.html; https://diafilmy.su/uploads/posts/2019-10/1570084930_03.jpg; 
126; Фотоэкран №1 1979г.; https://diafilmy.su/126-fotoekran-1-1979g.html; https://diafilmy.su/uploads/posts/2011-03/1299606505_4.jpg; 
125; Молодец со звездой во лбу и его рогатый конь. Часть 1; https://diafilmy.su/125-molodec-so-zvezdoy-vo-lbu-1.html; https://diafilmy.su/uploads/posts/2019-10/1570084482_03.jpg; 
128; Наука и религия о "необыкновенных" небесных явлениях; https://diafilmy.su/128-nauka-i-religiya.html; https://diafilmy.su/uploads/posts/2011-03/1299738607_3.jpg; 
127; Маленький Мазан; https://diafilmy.su/127-malenkiy-mazan.html; https://diafilmy.su/uploads/posts/2017-04/1491283455_03.jpg; 
129; Храбрец Кызы; https://diafilmy.su/129-hrabrec-kyzy.html; https://diafilmy.su/uploads/posts/2011-03/1299745391_5.jpg; 
130; Павлик Морозов; https://diafilmy.su/130-pavlik-morozov.html; https://diafilmy.su/uploads/posts/2011-03/1299793612_3.jpg; 
131; Другие языки; Пеппи Длинныйчулок. Часть 3; https://diafilmy.su/131-peppi-dlinnyychulok.html; 
132; Умей действовать в очаге поражения; https://diafilmy.su/132-umey-deystvovat.html; https://diafilmy.su/uploads/posts/2011-03/1299943252_5.jpg; 
133; Социалистический образ жизни и молодёжь; https://diafilmy.su/133-socialisticheskiy-obraz-zhizni.html; https://diafilmy.su/uploads/posts/2011-03/1299994330_4.jpg; 
134; С думой о завтрашнем дне; https://diafilmy.su/134-s-dumoy-o-zavtrashnem-dne.html; https://diafilmy.su/uploads/posts/2011-03/1299994602_4.jpg; 
135; По щучьему велению; https://diafilmy.su/135-po-schuchemu-veleniyu.html; https://diafilmy.su/uploads/posts/2021-10/1635102694_01.jpg; 
136; Исторические и документальные; Марксистско-ленинское учение о классах и государстве; https://diafilmy.su/136-marksistsko-leninskoe-uchenie.html; 
137; Кувшин с золотом; https://diafilmy.su/137-kuvshin-s-zolotom.html; https://diafilmy.su/uploads/posts/2011-03/1300221688_5.jpg; 
138; Стихи и басни; Сказка о золотом петушке; https://diafilmy.su/138-skazka-o-zolotom-petushke.html; 
139; Мультфильмы; Приключения Мюнхаузена.  Диафильм 2; https://diafilmy.su/139-priklyucheniya-myunhauzena-2-diafilm.html; 
140; Мультфильмы; Приключения Мюнхаузена.  Диафильм 1; https://diafilmy.su/140-priklyucheniya-myunhauzena-1-diafilm.html; 
141; Фотоэкран №6 1983г.; https://diafilmy.su/141-fotoekran-6-1983g.html; https://diafilmy.su/uploads/posts/2011-03/1300435228_4.jpg; 
143; Живая вода; https://diafilmy.su/143-zhivaya-voda.html; https://diafilmy.su/uploads/posts/2011-03/1300477977_2.jpg; 
142; Фотоэкран №4 1969г.; https://diafilmy.su/142-fotoekran-4-1969g.html; https://diafilmy.su/uploads/posts/2011-03/1300435585_3.jpg; 
144; Сказка о медяке; https://diafilmy.su/144-skazka-o-medyake.html; https://diafilmy.su/uploads/posts/2011-03/1300479803_2.jpg; 
145; Беляночка и Розочка; https://diafilmy.su/145-belyanochka-i-rozochka.html; https://diafilmy.su/uploads/posts/2011-03/1300555133_3.jpg; 
146; Мировая система социализма - авангард общественного развития; https://diafilmy.su/146-mirovaya-sistema-socializma.html; https://diafilmy.su/uploads/posts/2011-03/1300620763_4.jpg; 
147; Социальные факторы ускорения научно-технического прогресса; https://diafilmy.su/147-socialnye-faktory.html; https://diafilmy.su/uploads/posts/2011-03/1300621228_4.jpg; 
148; Тимур и его команда. Часть 2; https://diafilmy.su/148-timur-i-ego-komanda-2-chast.html; https://diafilmy.su/uploads/posts/2011-03/1300648898_4.jpg; 
150; Сказка о мёртвой царевне и о семи богатырях. Часть 1; https://diafilmy.su/150-skazka-o-mertvoy-carevne-1.html; https://diafilmy.su/uploads/posts/2011-03/1300724967_5.jpg; 
149; Тимур и его команда. Часть 1; https://diafilmy.su/149-timur-i-ego-komanda-1-chast.html; https://diafilmy.su/uploads/posts/2011-03/1300649435_4.jpg; 
